ID,Domain,Language,Language_Code,PSA,PSA_Type,Source_URL,Source_Title,Publisher,Organization_Type,Published_Date,Licence,Licence_URL,Licence_Evidence,Collected_At,Parallel_Group_ID,Parallel_Link_URL,Review_Status
KAPSA-9B15B8CA691304BBC1,www.infonet-biovision.org,English,en,"Infonet, a channel of the Biovision Farmer Communication Programme (FCP), provides scientific and practical validated information and knowledge related to plant (crop), animal, human and environmental health.",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:44+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-8C9BAB5E4042899F49,www.infonet-biovision.org,English,en,"The resource gives farmers, trainers, students, and extension workers quick access to up-to-date and locally relevant agricultural information and related topics. Infonet-Biovision’s aim is to increase human and animal welfare and health, improve regional and local food security and at the same time conserve the environment and biodiversity.",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:44+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-FB7D13DAF242FBD156,www.infonet-biovision.org,English,en,"Home | Infonet Biovision Home.: The Organic Farmer is a magazine with practical information, it is published monthly and is distributed free of charge",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:44+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-887A0E22B96D7AEC4F,www.infonet-biovision.org,English,en,"Publications provide a range of relevant magazines/brochures with complementary and practical information on agriculture, health, livestock and the environment",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:44+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-720AC8930933E6FA38,www.infonet-biovision.org,English,en,Home | Infonet Biovision Home.: Introducing knowledge hubs successfully as an innovative strategy for promoting organic agriculture,Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:44+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-6C45FB3C082FB64BBB,www.infonet-biovision.org,English,en,"Crops Fruits & Vegetables Avocados (Revised) Bananas (Revised) Beans (Revised) Cabbage,Kales,other Brassicas- Revised Carrot (Revised) Cashew (Revised) Cassava (Revised) Citrus plants (Revised) Cocoa (Revised) Coconut (Revised) Coffee (Revised) Cotton (Revised) Cucumber (Revised) Eggplant (Revised) Green gram (Revised) Groundnut (Revised) Maize (Revised) Maize Seed Production (Revised) Mango (Revised) Millet (Revised) Mushrooms (Revised) Okra (Revised) Onion (Revised) Papaya (Revised) Passion fruit (Revised) Peas (Revised) Peppers (Revised) Pigeon pea (Revised) Pineapple (Revised) Potato (Revised) Potato Seed Production (Revised) Pumpkin (Revised) Rice (Revised) Sesame (Revised) Sorghum (Revised) Soybean (Under development) Spinach Sugarcane Sweet potato Tea Teff Tomato Watermelon Wheat Yam Zucchini / Courgette Indigenous Vegetables African Eggplant (New) African Nightshade (Revised) Amaranth (Revised) Baobab leaves (revised) Bean Leaves (New) Bitter leaf (New) Bitter lettuce (New) Blackjack (New) Cassava Leaves (New) Cowpea (Revised) Crotalaria (New) Ethiopian Kale (Kanzira/Kansera)-New Gnetum (New) Jute Mallow (New) Malabar spinach (Nderema) - New Pumpkin leaves (New) Spider plant (revised) Stinging Nettle (New) Sweet potato leaves (New) Waterleaf (New) Pest & Diseases African armyworm African bollworm African cassava mosaic virus (ACMV) African maize stalkborer Anthracnose Aphids Bacterial wilt Bagrada bug Banana weevil Black rot Broomrape Cabbage looper Cabbage moth Cabbage webworm Couch grass Cowpea seed beetle Cutworms Damping-off diseases Diamondback moth (DBM) Dodder Downy mildew Early blight Fruit flies Fusarium wilt Larger grain borer (LGB) Late blight Leafmining flies (Leafminers) Mango seed weevil Mealybugs Powdery mildew Purple witchweed Root-knot nematodes Sedges Snails (Giant East African Snail) Spider mites Spotted stemborer Storage pests Sweet potato weevil Termites Thrips Tomato Yellow Leaf Curl Virus Disease (TYLCV) Turnip Mosaic Virus (TuMV) Weeds Whiteflies Medicinal Plants Mondia Artemisia Moringa Neem Ocimum kilimandscharicum Pelargonium Prunus africana Sutherlandia Tamarind Fruits & Vegetable Processing Methods for tomato preservation Vegetable preserves Drying of fruit and vegetables Natural Pest Control Biopesticides in Kenya Bio-pesticide: Bt (Bacillus thuringiensis) Bio-fumigation Copper fungicides in Kenya Flour preparation Hot-water treatment Natural enemies Plant extract: Garlic Plant extract: Neem Plant extract: Pyrethrum Plants with crop protection properties Soap spray Solarisation Sulphur pesticides in Kenya Traps and Bagging Cultural Practices Introduction to organic plant nutrition Organic Fertilizers And Stimulants Composting Field sanitation Green Manure / Cover Crop Legumes Crop rotation Intercropping and Push-Pull Mulching Conservation tillage systems Weed management Crops Fruits & Vegetables Avocados (Revised) Bananas (Revised) Beans (Revised) Cabbage,Kales,other Brassicas- Revised Carrot (Revised) Cashew (Revised) Cassava (Revised) Citrus plants (Revised) Cocoa (Revised) Coconut (Revised) Coffee (Revised) Cotton (Revised) Cucumber (Revised) Eggplant (Revised) Green gram (Revised) Groundnut (Revised) Maize (Revised) Maize Seed Production (Revised) Mango (Revised) Millet (Revised) Mushrooms (Revised) Okra (Revised) Onion (Revised) Papaya (Revised) Passion fruit (Revised) Peas (Revised) Peppers (Revised) Pigeon pea (Revised) Pineapple (Revised) Potato (Revised) Potato Seed Production (Revised) Pumpkin (Revised) Rice (Revised) Sesame (Revised) Sorghum (Revised) Soybean (Under development) Spinach Sugarcane Sweet potato Tea Teff Tomato Watermelon Wheat Yam Zucchini / Courgette",Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables,Crops Fruits & Vegetables,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:48+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-EB291592F97164A8F0,www.infonet-biovision.org,English,en,"This fungal disease is primarily a post-harvest problem when fruit is at maturity stage. Infection takes place when fruit is still very young and the fungus stays dormant till the fruit ripens. The disease appears as depressed spots on the fruit and the spots are manifested as a rot, which can penetrate deep into the flesh. In wet weather, the spots may be covered with mass of slimy, salmon pink fungal spore mass. The disease may develop very rapidly in storage if conditions in storage are humid and warm. The anthracnose fungus lives saprophytically on twigs, rotten fallen fruits and dead or dying infected leaves. The fungus is spread by water splash.",Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/avocados-revised,Avocados (Revised),Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:54+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-85ABCC00C2669239FE,www.infonet-biovision.org,English,en,"This fungal disease is primarily a post-harvest problem when fruit is at maturity stage. Infection takes place when fruit is still very young and the fungus stays dormant till the fruit ripens. The disease appears as depressed spots on the fruit and the spots are manifested as a rot, which can penetrate deep into the flesh. In wet weather, the spots may be covered with mass of slimy, salmon pink fungal spore mass. The disease may develop very rapidly in storage if conditions in storage are humid and warm.",Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/avocados-revised,Avocados (Revised),Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:54+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-A5C28C388F06D7A8A6,www.infonet-biovision.org,English,en,"The anthracnose fungus lives saprophytically on twigs, rotten fallen fruits and dead or dying infected leaves. The fungus is spread by water splash.",Agricultural extension guidance,https://www.infonet-biovision.org/crops-fruits-vegetables/avocados-revised,Avocados (Revised),Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:54+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-7F7B58E01F4189BB46,www.infonet-biovision.org,English,en,"Avocados (Revised): Anthracnose (Colletotrichum gloeosporioides) on avocado fruit. Ⓒ A. A. Seif, icipe",Agricultural extension guidance,https://www.infonet-biovision.org/crops-fruits-vegetables/avocados-revised,Avocados (Revised),Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:34:54+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
