URL,Element,Text
https://www.eacc.go.ke,title,EACC
https://www.eacc.go.ke,li,Home
https://www.eacc.go.ke,li,About Us
https://www.eacc.go.ke,li,Legislation
https://www.eacc.go.ke,li,Report Corruption
https://www.eacc.go.ke,li,News & Updates
https://www.eacc.go.ke,li,Contact Us
https://www.eacc.go.ke,li,Downloads
https://www.eacc.go.ke,li,Court Rulings
https://www.eacc.go.ke,li,Partnerships
https://www.eacc.go.ke,li,KLIF
https://www.eacc.go.ke,li,Integrity Education
https://www.eacc.go.ke,li,Kenya Ethics and Anti-Corruption Academy
https://www.eacc.go.ke,li,Locate Us
https://www.eacc.go.ke,li,Staff Mail
https://www.eacc.go.ke,li,Careers
https://www.eacc.go.ke,li,Tenders
https://www.eacc.go.ke,li,Newsletter
https://www.eacc.go.ke,li,Speeches
https://www.eacc.go.ke,li,Online Services
https://www.eacc.go.ke,li,Home
https://www.eacc.go.ke,li,About Us
https://www.eacc.go.ke,li,Legislation
https://www.eacc.go.ke,li,Report Corruption
https://www.eacc.go.ke,li,News & Updates
https://www.eacc.go.ke,li,Contact Us
https://www.eacc.go.ke,li,Downloads
https://www.eacc.go.ke,li,Court Rulings
https://www.eacc.go.ke,li,EACA Training Calendar 2026 - 2027 Read More
https://www.eacc.go.ke,h1,EACA Training Calendar 2026 - 2027
https://www.eacc.go.ke,li,"𝗘𝗔𝗖𝗖, 𝗢𝗗𝗣𝗣 𝗣𝗹𝗲𝗱𝗴𝗲 𝗝𝗼𝗶𝗻𝘁 𝗔𝗰𝘁𝗶𝗼𝗻 𝗔𝗴𝗮𝗶𝗻𝘀𝘁 𝗖𝗼𝗿𝗿𝘂𝗽𝘁𝗶𝗼𝗻 𝗮𝗻𝗱 𝗠𝗼𝗻𝗲𝘆 𝗟𝗮𝘂𝗻𝗱𝗲𝗿𝗶𝗻𝗴 Read More"
https://www.eacc.go.ke,h1,"𝗘𝗔𝗖𝗖, 𝗢𝗗𝗣𝗣 𝗣𝗹𝗲𝗱𝗴𝗲 𝗝𝗼𝗶𝗻𝘁 𝗔𝗰𝘁𝗶𝗼𝗻 𝗔𝗴𝗮𝗶𝗻𝘀𝘁 𝗖𝗼𝗿𝗿𝘂𝗽𝘁𝗶𝗼𝗻 𝗮𝗻𝗱 𝗠𝗼𝗻𝗲𝘆 𝗟𝗮𝘂𝗻𝗱𝗲𝗿𝗶𝗻𝗴"
https://www.eacc.go.ke,li,"EACC leads stakeholders in marking African Anti-Corruption Day, calls for collective action against corruption Read More"
https://www.eacc.go.ke,h1,"EACC leads stakeholders in marking African Anti-Corruption Day, calls for collective action against corruption"
https://www.eacc.go.ke,li,"EACC, Chinese anti-corruption agency explore closer cooperation in graft fight Read More"
https://www.eacc.go.ke,h1,"EACC, Chinese anti-corruption agency explore closer cooperation in graft fight"
https://www.eacc.go.ke,li,EACC CEO calls for stronger regional cooperation to combat corruption in the fisheries sector Read More
https://www.eacc.go.ke,h1,EACC CEO calls for stronger regional cooperation to combat corruption in the fisheries sector
https://www.eacc.go.ke,li,Read More
https://www.eacc.go.ke,li,"EACC, CAJ strengthen partnership to advance integrity and good governance Read More"
https://www.eacc.go.ke,h1,"EACC, CAJ strengthen partnership to advance integrity and good governance"
https://www.eacc.go.ke,li,EACC CEO joins multi-agency leaders to advance Kenya’s FATF grey list exit Read More
https://www.eacc.go.ke,h1,EACC CEO joins multi-agency leaders to advance Kenya’s FATF grey list exit
https://www.eacc.go.ke,li,EACC CEO elected to AAACA Executive Committee Read More
https://www.eacc.go.ke,h1,EACC CEO elected to AAACA Executive Committee
https://www.eacc.go.ke,li,"AAACA, World Bank sign anti-corruption cooperation framework in Africa Read More"
https://www.eacc.go.ke,h1,"AAACA, World Bank sign anti-corruption cooperation framework in Africa"
https://www.eacc.go.ke,p,NEWS
https://www.eacc.go.ke,p,BYTES
https://www.eacc.go.ke,p,NEWS
https://www.eacc.go.ke,p,BYTES
https://www.eacc.go.ke,li,EACC and Bungoma County Leadership Unite to Champion Integrity in Public Service
https://www.eacc.go.ke,p,EACC and Bungoma County Leadership Unite to Champion Integrity in Public Service
https://www.eacc.go.ke,li,EACC Recovers Prime Government Properties Grabbed In Kakamega
https://www.eacc.go.ke,p,EACC Recovers Prime Government Properties Grabbed In Kakamega
https://www.eacc.go.ke,li,"EACC launches a compliance risks monitoring exercise in the implementation of dam projects in the Ministry of Water, Sanitation and Irrigation."
https://www.eacc.go.ke,p,"EACC launches a compliance risks monitoring exercise in the implementation of dam projects in the Ministry of Water, Sanitation and Irrigation."
https://www.eacc.go.ke,li,Two Public Officers Arrested For Diversion of County Revenue
https://www.eacc.go.ke,p,Two Public Officers Arrested For Diversion of County Revenue
https://www.eacc.go.ke,li,EACC Hosts Key Eastern Africa Anti-Corruption Forum
https://www.eacc.go.ke,p,EACC Hosts Key Eastern Africa Anti-Corruption Forum
https://www.eacc.go.ke,li,EACC Awarded for Diversity and Inclusivity
https://www.eacc.go.ke,p,EACC Awarded for Diversity and Inclusivity
https://www.eacc.go.ke,li,"SRC, EACC Sign Good Governance Pact"
https://www.eacc.go.ke,p,"SRC, EACC Sign Good Governance Pact"
https://www.eacc.go.ke,li,EACC Holds First Ever Women in Leadership Forum
https://www.eacc.go.ke,p,EACC Holds First Ever Women in Leadership Forum
https://www.eacc.go.ke,li,NSSF Case Sets Historic Graft Fine Record of Kshs. 9.8bn
https://www.eacc.go.ke,p,NSSF Case Sets Historic Graft Fine Record of Kshs. 9.8bn
https://www.eacc.go.ke,li,NIACa trains Integrity Assurance Officer from the Tourism Fund and the Kenya Export Promotion & Branding Agency
https://www.eacc.go.ke,p,NIACa trains Integrity Assurance Officer from the Tourism Fund and the Kenya Export Promotion & Branding Agency
https://www.eacc.go.ke,h1,Report Corruption
