URL,Element,Text
https://www.health.go.ke,title,MoH | Ministry of Health
https://www.health.go.ke,h2,Main navigation
https://www.health.go.ke,li,Home
https://www.health.go.ke,li,Alerts Cholera Covid-19 Ebola Mpox Mpox Key messages MPOX FAQ
https://www.health.go.ke,li,Cholera
https://www.health.go.ke,li,Covid-19
https://www.health.go.ke,li,Ebola
https://www.health.go.ke,li,Mpox Mpox Key messages MPOX FAQ
https://www.health.go.ke,li,Mpox Key messages
https://www.health.go.ke,li,MPOX FAQ
https://www.health.go.ke,li,"About Us Who We Are Background of MoH Vision, Mission & Mandate Service Charter Our Structure MoH Leadership SAGA’s, Regulatory Bodies and Councils State Departments"
https://www.health.go.ke,li,"Who We Are Background of MoH Vision, Mission & Mandate Service Charter"
https://www.health.go.ke,li,Background of MoH
https://www.health.go.ke,li,"Vision, Mission & Mandate"
https://www.health.go.ke,li,Service Charter
https://www.health.go.ke,li,"Our Structure MoH Leadership SAGA’s, Regulatory Bodies and Councils State Departments"
https://www.health.go.ke,li,MoH Leadership
https://www.health.go.ke,li,"SAGA’s, Regulatory Bodies and Councils"
https://www.health.go.ke,li,State Departments
https://www.health.go.ke,li,Services Travelers Information Truck Drivers MoH Self Service Portal Register to Donate Blood Travel Related FAQs
https://www.health.go.ke,li,Travelers Information
https://www.health.go.ke,li,Truck Drivers
https://www.health.go.ke,li,MoH Self Service Portal
https://www.health.go.ke,li,Register to Donate Blood
https://www.health.go.ke,li,Travel Related FAQs
https://www.health.go.ke,li,Media Center News & Events MOH Weekly News MoH Events Publications Health Journals Newsletter Photo & Video Gallery Downloads Press Statements
https://www.health.go.ke,li,News & Events
https://www.health.go.ke,li,MOH Weekly News
https://www.health.go.ke,li,MoH Events
https://www.health.go.ke,li,Publications Health Journals Newsletter
https://www.health.go.ke,li,Health Journals
https://www.health.go.ke,li,Newsletter
https://www.health.go.ke,li,Photo & Video Gallery
https://www.health.go.ke,li,Downloads
https://www.health.go.ke,li,Press Statements
https://www.health.go.ke,li,"Resources The Draft Quality Healthcare and Patient Safety Bill, 2025 Healthcare Professional Internship Documents SHA Digital Posters SHA DIGITAL POSTER SHA SHIF A4 sha registration_english sha registration_kiswahili Universal Health Coverage (UHC) Regulations Healthcare Professional Internship Documents_ BILLS 2023 UHC Towards Mashujaa Day Celebrations eCHIS Privacy Policy Policy Briefs Food Hygiene Licensing Checklist Disability Medical Assessment Guidelines Forms Getting Treatment Abroad Guidelines, Standards and Policies Portal Environmental and Social Safeguards Requirements for Export & Import Health Certificates Health Campaigns Universal Health Coverage (UHC) Regulations"
https://www.health.go.ke,li,"The Draft Quality Healthcare and Patient Safety Bill, 2025"
https://www.health.go.ke,li,Healthcare Professional Internship Documents
https://www.health.go.ke,li,SHA Digital Posters SHA DIGITAL POSTER SHA SHIF A4 sha registration_english sha registration_kiswahili
https://www.health.go.ke,li,SHA DIGITAL POSTER
https://www.health.go.ke,li,SHA
https://www.health.go.ke,li,SHIF A4
https://www.health.go.ke,li,sha registration_english
https://www.health.go.ke,li,sha registration_kiswahili
https://www.health.go.ke,li,Universal Health Coverage (UHC) Regulations
https://www.health.go.ke,li,Healthcare Professional Internship Documents_
https://www.health.go.ke,li,BILLS 2023
https://www.health.go.ke,li,UHC Towards Mashujaa Day Celebrations
https://www.health.go.ke,li,eCHIS Privacy Policy
https://www.health.go.ke,li,Policy Briefs
https://www.health.go.ke,li,Food Hygiene Licensing Checklist
https://www.health.go.ke,li,Disability Medical Assessment Guidelines Forms
https://www.health.go.ke,li,Getting Treatment Abroad
https://www.health.go.ke,li,"Guidelines, Standards and Policies Portal"
https://www.health.go.ke,li,Environmental and Social Safeguards
https://www.health.go.ke,li,Requirements for Export & Import Health Certificates
https://www.health.go.ke,li,Health Campaigns
https://www.health.go.ke,li,Universal Health Coverage (UHC) Regulations
https://www.health.go.ke,li,Adverts Tenders Call for Submission Vacancies and Internships Course/Scholarship
https://www.health.go.ke,li,Tenders
https://www.health.go.ke,li,Call for Submission
https://www.health.go.ke,li,Vacancies and Internships
https://www.health.go.ke,li,Course/Scholarship
https://www.health.go.ke,li,Contact Us Ministry Contacts Complaint Procedure (World Bank Procurement)
https://www.health.go.ke,li,Ministry Contacts
https://www.health.go.ke,li,Complaint Procedure (World Bank Procurement)
https://www.health.go.ke,li,FAQ
https://www.health.go.ke,h2,MoH
https://www.health.go.ke,li,Ensuring food safety through rigorous analysis at the National Public Health Laboratories (NPHL)
https://www.health.go.ke,p,Ensuring food safety through rigorous analysis at the National Public Health Laboratories (NPHL)
https://www.health.go.ke,li,Ensuring food safety through rigorous analysis at the National Public Health Laboratories (NPHL)
https://www.health.go.ke,p,Ensuring food safety through rigorous analysis at the National Public Health Laboratories (NPHL)
https://www.health.go.ke,li,Renal unit Histocompatibility and Immunogenetics laboratory.
https://www.health.go.ke,p,Renal unit Histocompatibility and Immunogenetics laboratory.
https://www.health.go.ke,li,Malaria vaccination targeting children within Kenya's lake-endemic region
https://www.health.go.ke,p,Malaria vaccination targeting children within Kenya's lake-endemic region
https://www.health.go.ke,li,Renal unit Histocompatibility and Immunogenetics laboratory.
https://www.health.go.ke,p,Renal unit Histocompatibility and Immunogenetics laboratory.
https://www.health.go.ke,h2,Updates
https://www.health.go.ke,li,"CS Duale inaugurates National Cancer Institute Scientific and Ethics Review Committee MoH News/17 Jul, 2026"
https://www.health.go.ke,h3,CS Duale inaugurates National Cancer Institute Scientific and Ethics Review Committee
https://www.health.go.ke,li,"Partners Align Ahead of the Kenya Health Summit MoH News/16 Jul, 2026"
https://www.health.go.ke,h3,Partners Align Ahead of the Kenya Health Summit
https://www.health.go.ke,li,"Kenya strengthens sustainable wheelchair services and local manufacturing MoH News/16 Jul, 2026"
https://www.health.go.ke,h3,Kenya strengthens sustainable wheelchair services and local manufacturing
https://www.health.go.ke,li,"Ministry reaffirms commitment to governance and accountability in healthcare MoH News/16 Jul, 2026"
https://www.health.go.ke,h3,Ministry reaffirms commitment to governance and accountability in healthcare
https://www.health.go.ke,h2,Calendar
https://www.health.go.ke,h3,Visit our Portals below for various services.
https://www.health.go.ke,h3,Kenya Health Information System (KHIS)
https://www.health.go.ke,p,Visit the KHIS here
https://www.health.go.ke,h3,Integrated Human Resource Information System (IHRIS)
https://www.health.go.ke,p,Visit the IHRIS Portal
https://www.health.go.ke,h3,Blood Banking Management System (DamuKE)
https://www.health.go.ke,p,Visit the DAMUKE here
https://www.health.go.ke,h3,Blood Banking Management System (DamuKE)
https://www.health.go.ke,p,Visit the DAMUKE here
https://www.health.go.ke,h3,Mental Health Portal
https://www.health.go.ke,p,Visit the Mental health portal here
https://www.health.go.ke,h3,"Standards, Guidelines And Policies Portal"
https://www.health.go.ke,p,Visit the Guidelines Portal
https://www.health.go.ke,h3,Kanya Master Health Facility List (KMHFL)
https://www.health.go.ke,p,Visit the KMHFL Portal here
https://www.health.go.ke,h3,Kenya Quality Model For Health
https://www.health.go.ke,p,Visit the KQMH here
https://www.health.go.ke,h3,Ministry of Health Virtual Academy
https://www.health.go.ke,p,Access our Health Academy
https://www.health.go.ke,h3,Social Health Authority - SHA
https://www.health.go.ke,p,Visit the Social Health Authority (SHA)portal Here
https://www.health.go.ke,h3,Community Led Total Sanitation (CLTS)
https://www.health.go.ke,p,Visit the CLTS Portal
