URL,Element,Text
https://www.mod.go.ke,title,Ministry of Defence – Kenya
https://www.mod.go.ke,li,Home
https://www.mod.go.ke,li,About Us WHO WE ARE Our History Our Mandate Citizens Service Delivery Charter English Service Charter Mkataba Wa Huduma VIDEO SIGN LANGUAGE KDF Ranks Kenya’s Peace Keeping Missions Kenya in AMISOM MEET OUR LEADERS Top Leadership Commander-In-Chief Cabinet Secretary Chief of the Defence Forces Vice Chief of the Defence Forces Principal Secretary Service Commanders ADMINISTRATION Tenders Jobs
https://www.mod.go.ke,li,WHO WE ARE Our History Our Mandate Citizens Service Delivery Charter English Service Charter Mkataba Wa Huduma VIDEO SIGN LANGUAGE KDF Ranks Kenya’s Peace Keeping Missions Kenya in AMISOM
https://www.mod.go.ke,li,Our History
https://www.mod.go.ke,li,Our Mandate
https://www.mod.go.ke,li,Citizens Service Delivery Charter English Service Charter Mkataba Wa Huduma VIDEO SIGN LANGUAGE
https://www.mod.go.ke,li,English Service Charter
https://www.mod.go.ke,li,Mkataba Wa Huduma
https://www.mod.go.ke,li,VIDEO SIGN LANGUAGE
https://www.mod.go.ke,li,KDF Ranks
https://www.mod.go.ke,li,Kenya’s Peace Keeping Missions
https://www.mod.go.ke,li,Kenya in AMISOM
https://www.mod.go.ke,li,MEET OUR LEADERS Top Leadership Commander-In-Chief Cabinet Secretary Chief of the Defence Forces Vice Chief of the Defence Forces Principal Secretary Service Commanders
https://www.mod.go.ke,li,Top Leadership
https://www.mod.go.ke,li,Commander-In-Chief
https://www.mod.go.ke,li,Cabinet Secretary
https://www.mod.go.ke,li,Chief of the Defence Forces
https://www.mod.go.ke,li,Vice Chief of the Defence Forces
https://www.mod.go.ke,li,Principal Secretary
https://www.mod.go.ke,li,Service Commanders
https://www.mod.go.ke,li,ADMINISTRATION
https://www.mod.go.ke,li,Tenders
https://www.mod.go.ke,li,Jobs
https://www.mod.go.ke,li,Services
https://www.mod.go.ke,li,"Resources CORE DOCUMENTS The Constitution of Kenya 2010 The Kenya Defence Forces Act Map of Kenya Kenya Vision 2030 Status of National Projects KEY POLICY DOCUMENTS National Defence Policy Gender Policy National Policy for Peace Support The Military Veterans ACT, 2022 National Security Industrialization Policy STAFF Webmail D-PAY E-Library"
